ls_xy,ls_z,os_xyz,ls_t,os_t,ls_ap,mse
0.24,1.0,25.0,0.02,25.0,0.5,88.34524536132812
0.03,1.0,25.0,0.5,75.0,2.0,63.488243103027344
0.24,1.0,25.0,5.0,25.0,1000000.0,
0.12,1.0,150.0,0.5,75.0,1000000.0,
0.24,1.0,150.0,50.0,75.0,2.0,
0.015,0.5,150.0,0.02,25.0,2.0,72.26548767089844
0.015,0.25,25.0,0.1,5.0,2.0,62.37453842163086
0.12,0.25,150.0,0.5,25.0,1.0,
0.015,1.0,25.0,0.1,75.0,1000000.0,76.20086669921875
0.06,0.5,150.0,5.0,75.0,1.0,
0.24,0.5,150.0,50.0,25.0,2.0,
0.06,0.25,75.0,50.0,75.0,2.0,
0.12,0.5,75.0,0.02,25.0,1.0,80.36348724365234
0.06,1.0,75.0,0.02,5.0,0.5,56.87803268432617
0.03,1.0,25.0,5.0,25.0,0.5,55.59706115722656
0.24,0.5,75.0,0.5,25.0,0.5,75.10719299316406
0.06,0.25,25.0,0.5,25.0,1000000.0,78.2126235961914
0.06,1.0,150.0,5.0,25.0,1000000.0,
0.03,1.0,25.0,5.0,75.0,0.5,55.87423324584961
0.24,0.5,25.0,5.0,25.0,1.0,71.1702651977539
0.24,0.5,150.0,0.1,75.0,0.5,
0.12,0.25,150.0,0.1,5.0,0.5,61.358924865722656
0.03,0.5,75.0,0.02,5.0,2.0,57.08984375
0.24,0.25,75.0,5.0,25.0,1000000.0,
0.06,1.0,150.0,0.5,25.0,1.0,
0.06,1.0,25.0,50.0,75.0,0.5,
0.015,1.0,150.0,5.0,5.0,1.0,59.5521354675293
0.015,0.5,75.0,50.0,25.0,2.0,58.04094696044922
0.06,1.0,75.0,0.5,75.0,0.5,
0.06,0.25,25.0,50.0,5.0,2.0,62.91884994506836
0.24,0.25,150.0,0.02,75.0,2.0,
0.03,1.0,150.0,50.0,25.0,0.5,58.32143020629883
0.12,0.5,75.0,0.02,75.0,2.0,102.16646575927734
0.24,0.5,25.0,0.1,5.0,0.5,72.41706848144531
0.06,0.25,75.0,0.5,75.0,1000000.0,
0.03,0.5,150.0,5.0,75.0,0.5,62.62397003173828
0.015,1.0,25.0,0.1,5.0,1000000.0,68.06710815429688
0.015,0.25,75.0,0.02,5.0,1.0,57.802913665771484
0.06,0.25,75.0,0.1,75.0,1000000.0,
0.12,0.25,75.0,5.0,5.0,0.5,60.99738311767578
0.24,0.5,25.0,0.5,75.0,1000000.0,
0.06,0.25,150.0,50.0,5.0,2.0,57.85567855834961
0.12,0.25,75.0,5.0,75.0,2.0,
0.015,0.25,75.0,50.0,5.0,0.5,53.356971740722656
0.015,0.5,150.0,0.1,25.0,2.0,68.87218475341797
0.24,1.0,25.0,0.1,25.0,1000000.0,
0.03,0.5,25.0,0.02,25.0,1.0,73.28020477294922
0.03,0.5,150.0,50.0,25.0,1000000.0,
0.24,0.25,150.0,0.1,5.0,1000000.0,
0.03,0.25,25.0,5.0,25.0,1000000.0,66.92567443847656
0.06,0.25,25.0,0.1,75.0,2.0,77.33364868164062
0.06,1.0,25.0,5.0,75.0,1.0,
0.06,1.0,75.0,50.0,75.0,2.0,
0.24,0.25,150.0,5.0,75.0,1.0,
0.03,0.5,25.0,0.5,25.0,0.5,56.228271484375
0.24,0.25,75.0,5.0,75.0,1.0,
0.015,1.0,25.0,5.0,25.0,1000000.0,63.856021881103516
0.015,1.0,25.0,0.02,5.0,0.5,60.969032287597656
0.24,0.5,75.0,0.1,5.0,2.0,
0.015,0.25,150.0,50.0,75.0,1.0,58.37897491455078
0.03,0.25,25.0,5.0,25.0,0.5,53.82756423950195
0.24,1.0,150.0,0.5,75.0,0.5,
0.24,1.0,150.0,0.02,25.0,1.0,
0.12,0.25,25.0,0.5,5.0,0.5,66.0021743774414
0.12,0.25,25.0,0.1,5.0,2.0,72.40074920654297
0.06,0.5,75.0,50.0,5.0,1.0,57.16084671020508
0.06,0.25,75.0,50.0,25.0,1.0,59.83926010131836
0.06,0.25,150.0,0.02,75.0,1.0,85.48233032226562
0.03,0.5,75.0,0.1,5.0,2.0,56.264007568359375
0.03,1.0,150.0,5.0,25.0,0.5,62.732032775878906
0.06,1.0,150.0,0.02,75.0,1.0,85.75035858154297
0.06,0.5,75.0,5.0,5.0,2.0,60.14775848388672
0.12,0.25,150.0,5.0,25.0,0.5,
0.06,1.0,25.0,0.02,25.0,1000000.0,94.13048553466797
0.03,1.0,150.0,50.0,5.0,1.0,54.56721878051758
0.03,1.0,75.0,0.02,5.0,2.0,57.428314208984375
0.24,1.0,75.0,0.1,75.0,2.0,
0.03,0.25,75.0,50.0,75.0,1.0,55.16669845581055
0.24,1.0,150.0,0.5,5.0,0.5,
0.06,0.25,150.0,0.5,25.0,1.0,
0.24,1.0,25.0,5.0,25.0,1.0,
0.015,0.5,150.0,0.5,5.0,2.0,61.12678146362305
0.12,1.0,75.0,0.1,5.0,2.0,69.3350830078125
0.24,0.25,25.0,0.02,5.0,1000000.0,97.42898559570312
0.06,0.5,25.0,0.5,25.0,0.5,61.26008987426758
0.06,0.5,75.0,5.0,5.0,1000000.0,
0.12,1.0,25.0,5.0,5.0,0.5,67.3395004272461
0.06,0.5,150.0,0.02,5.0,1000000.0,
0.015,0.25,75.0,5.0,75.0,1000000.0,65.65159606933594
0.03,0.5,150.0,0.5,5.0,0.5,57.22420120239258
0.24,0.5,150.0,0.02,75.0,1000000.0,
0.015,1.0,75.0,0.02,75.0,1.0,82.07660675048828
0.06,0.25,25.0,0.5,75.0,1000000.0,
0.06,0.25,75.0,0.5,75.0,1.0,
0.24,0.25,75.0,0.1,75.0,0.5,
0.03,1.0,75.0,5.0,5.0,1000000.0,66.11738586425781
0.015,0.5,75.0,0.1,25.0,1.0,64.31336212158203
0.12,0.5,150.0,5.0,25.0,1000000.0,
0.03,0.25,25.0,0.1,75.0,2.0,70.41675567626953
0.015,0.25,75.0,0.5,75.0,0.5,57.231170654296875
0.06,0.25,25.0,5.0,75.0,1000000.0,
0.06,1.0,75.0,5.0,25.0,1.0,65.54071807861328
0.03,0.5,25.0,0.5,75.0,1.0,57.72818374633789
0.06,1.0,150.0,0.5,5.0,1.0,
0.12,1.0,75.0,0.02,75.0,0.5,93.98171997070312
0.12,0.25,75.0,0.02,75.0,0.5,92.2545394897461
0.06,0.25,25.0,0.1,5.0,0.5,61.2348518371582
0.24,0.5,150.0,0.1,5.0,1.0,
0.06,1.0,75.0,0.02,75.0,2.0,90.42613220214844
0.015,0.25,75.0,50.0,25.0,1000000.0,64.98316192626953
0.24,0.25,150.0,5.0,25.0,2.0,
0.015,0.5,75.0,5.0,25.0,0.5,55.721290588378906
0.015,1.0,75.0,0.1,75.0,1.0,70.739990234375
0.12,0.25,150.0,50.0,5.0,1000000.0,
0.015,1.0,150.0,0.02,75.0,2.0,83.6630630493164
0.06,0.5,75.0,0.5,5.0,1.0,59.752872467041016
0.015,0.25,25.0,0.5,25.0,2.0,60.396297454833984
0.24,0.5,150.0,5.0,25.0,1000000.0,
0.015,0.25,150.0,50.0,25.0,0.5,55.83293914794922
0.12,0.5,25.0,50.0,5.0,1.0,64.919921875
0.03,0.5,75.0,0.1,5.0,1000000.0,67.68182373046875
0.12,1.0,150.0,5.0,25.0,1000000.0,
0.06,1.0,25.0,0.1,75.0,0.5,79.7546157836914
0.24,0.5,75.0,5.0,75.0,2.0,
0.24,0.25,150.0,0.1,25.0,1.0,
0.06,0.5,25.0,0.1,75.0,1.0,75.06188201904297
0.015,0.25,150.0,0.5,75.0,0.5,59.618228912353516
0.06,0.5,150.0,0.5,25.0,1000000.0,
0.03,1.0,150.0,5.0,75.0,1000000.0,
0.06,0.25,75.0,0.5,25.0,1000000.0,
0.015,0.25,150.0,0.5,75.0,1.0,61.123844146728516
0.24,1.0,25.0,0.1,25.0,1.0,90.13516998291016
0.12,0.5,150.0,0.1,5.0,1000000.0,
0.12,0.25,150.0,5.0,5.0,1.0,
0.12,0.25,150.0,0.02,25.0,1000000.0,
0.12,1.0,150.0,0.5,25.0,0.5,
0.03,0.25,25.0,5.0,75.0,0.5,54.09672164916992
0.24,0.25,75.0,5.0,75.0,2.0,
0.12,0.5,75.0,50.0,75.0,2.0,
0.015,0.25,150.0,0.1,5.0,2.0,61.2423095703125
0.12,0.5,75.0,5.0,75.0,1000000.0,
0.12,0.25,25.0,0.02,75.0,2.0,103.29222869873047
0.12,0.5,75.0,0.02,5.0,1000000.0,
0.015,0.5,25.0,50.0,5.0,1000000.0,63.138492584228516
0.015,0.5,150.0,0.02,5.0,2.0,61.397335052490234
0.06,0.25,150.0,5.0,75.0,0.5,65.93995666503906
0.24,1.0,75.0,5.0,5.0,2.0,
0.03,1.0,25.0,0.02,5.0,1000000.0,73.99845886230469
0.24,0.5,25.0,0.5,75.0,1.0,
0.015,0.25,150.0,0.1,25.0,2.0,68.82954406738281
0.015,0.25,25.0,0.5,5.0,0.5,54.32796096801758
0.015,0.5,150.0,0.02,25.0,0.5,67.40715789794922
0.24,0.5,25.0,0.5,25.0,1.0,79.17084503173828
0.03,0.25,150.0,0.02,25.0,0.5,63.155548095703125
0.015,0.25,25.0,50.0,5.0,1000000.0,63.148101806640625
0.24,1.0,25.0,0.5,25.0,0.5,79.67959594726562
0.06,1.0,75.0,0.1,25.0,1.0,69.29176330566406
0.06,0.25,75.0,50.0,5.0,1.0,56.57814025878906
0.24,0.5,150.0,0.1,5.0,1000000.0,
0.24,1.0,75.0,50.0,25.0,1.0,
0.03,0.5,75.0,0.5,5.0,0.5,55.4298210144043
0.015,0.5,25.0,0.1,75.0,1000000.0,75.73941040039062
0.03,0.25,75.0,0.5,25.0,1000000.0,68.80099487304688
0.03,1.0,25.0,50.0,5.0,1.0,54.8232421875
0.06,0.5,25.0,50.0,5.0,1000000.0,74.5010986328125
0.24,0.5,25.0,50.0,75.0,2.0,
0.015,1.0,150.0,50.0,25.0,1000000.0,68.74890899658203
0.12,1.0,75.0,50.0,75.0,2.0,
0.06,0.5,25.0,0.5,5.0,0.5,59.8264045715332
0.12,1.0,75.0,50.0,25.0,2.0,
0.06,0.5,25.0,0.02,75.0,1.0,88.85466766357422
0.12,1.0,75.0,0.5,75.0,0.5,
0.06,0.5,25.0,0.5,25.0,1000000.0,
0.03,0.5,75.0,0.1,25.0,2.0,62.14704513549805
0.12,1.0,75.0,0.1,25.0,1000000.0,
0.12,0.25,150.0,0.5,5.0,0.5,
0.015,0.5,25.0,0.1,25.0,2.0,66.84273529052734
0.015,1.0,150.0,0.5,75.0,1000000.0,70.03868103027344
0.24,1.0,25.0,0.5,75.0,1.0,
0.03,1.0,25.0,0.02,75.0,0.5,83.5194091796875
0.015,0.25,25.0,5.0,25.0,1.0,53.85166549682617
0.12,1.0,75.0,0.02,25.0,0.5,77.2718276977539
0.015,1.0,75.0,0.1,5.0,0.5,56.827247619628906
0.03,0.5,150.0,0.5,5.0,2.0,55.8831672668457
0.015,0.5,75.0,5.0,25.0,1.0,56.807334899902344
0.015,0.5,75.0,0.02,75.0,1.0,82.05957794189453
0.03,1.0,25.0,0.5,5.0,1000000.0,70.35224151611328
0.015,0.25,25.0,5.0,25.0,2.0,57.767967224121094
0.12,0.5,150.0,0.5,25.0,1.0,
0.12,1.0,25.0,50.0,25.0,2.0,
0.24,1.0,150.0,5.0,75.0,1000000.0,
0.24,1.0,25.0,0.5,5.0,1000000.0,
0.12,0.5,75.0,50.0,5.0,1.0,61.54014587402344
0.06,0.25,25.0,5.0,75.0,0.5,59.74801254272461
0.03,0.25,75.0,0.1,25.0,0.5,63.15256118774414
0.12,0.25,75.0,0.5,5.0,1.0,66.4808120727539
0.12,1.0,25.0,50.0,25.0,0.5,70.09586334228516
0.015,0.5,150.0,0.5,75.0,1000000.0,69.66553497314453
0.06,0.5,25.0,0.02,25.0,0.5,76.36742401123047
0.06,1.0,75.0,50.0,5.0,1.0,59.16612243652344
0.12,0.5,150.0,5.0,75.0,1000000.0,
0.015,0.5,75.0,0.5,75.0,2.0,60.59333419799805
0.12,0.5,25.0,5.0,5.0,1.0,66.30982208251953
0.12,1.0,25.0,0.5,5.0,1000000.0,89.88838958740234
0.015,0.25,150.0,5.0,25.0,2.0,62.79072570800781
0.06,0.25,150.0,0.1,25.0,2.0,
0.015,1.0,150.0,0.1,75.0,1000000.0,78.58998107910156
0.03,0.5,25.0,5.0,25.0,2.0,58.481422424316406
0.03,0.5,150.0,0.5,75.0,2.0,
0.015,0.5,25.0,5.0,25.0,2.0,57.80415344238281
0.24,1.0,150.0,0.1,75.0,2.0,
0.03,1.0,150.0,5.0,5.0,2.0,55.59370422363281
0.06,1.0,75.0,0.5,5.0,1000000.0,
0.06,0.25,25.0,0.5,75.0,2.0,
0.03,0.5,25.0,5.0,75.0,1000000.0,
0.12,0.25,150.0,5.0,25.0,2.0,
0.015,0.25,150.0,0.1,25.0,1000000.0,73.2477798461914
0.03,0.5,25.0,0.1,25.0,0.5,64.2405776977539
0.03,1.0,150.0,50.0,75.0,2.0,59.8477897644043
0.03,0.25,150.0,0.5,75.0,1000000.0,
0.24,0.25,75.0,0.1,75.0,2.0,
0.24,1.0,75.0,50.0,75.0,0.5,
0.03,1.0,25.0,0.1,5.0,1.0,58.2259521484375
0.12,0.5,25.0,0.1,75.0,0.5,83.84937286376953
0.24,1.0,150.0,0.5,5.0,1.0,
0.015,0.25,25.0,50.0,75.0,1.0,53.68260955810547
0.06,1.0,75.0,0.02,5.0,1000000.0,80.3635025024414
0.24,0.5,150.0,0.1,25.0,0.5,
0.12,1.0,25.0,0.02,75.0,1.0,99.37489318847656
0.03,1.0,75.0,0.02,75.0,0.5,79.10530090332031
0.06,1.0,25.0,50.0,75.0,1000000.0,
0.015,1.0,75.0,50.0,25.0,1000000.0,65.44607543945312
0.06,1.0,25.0,0.1,5.0,1000000.0,78.75440979003906
0.015,1.0,25.0,0.1,5.0,0.5,57.96427917480469
0.06,0.5,25.0,5.0,25.0,0.5,60.199405670166016
0.12,1.0,150.0,5.0,5.0,2.0,
0.06,1.0,75.0,0.02,25.0,0.5,68.79529571533203
0.12,1.0,150.0,0.5,75.0,2.0,
0.06,1.0,25.0,5.0,25.0,2.0,69.61748504638672
0.015,0.5,150.0,0.02,25.0,1000000.0,80.96685791015625
0.06,0.25,25.0,50.0,25.0,1000000.0,
0.24,0.5,150.0,5.0,75.0,1.0,
0.015,0.5,75.0,5.0,75.0,0.5,56.00998306274414
0.015,0.5,25.0,0.5,5.0,1.0,55.30052185058594
0.24,0.25,75.0,0.02,75.0,2.0,
0.03,0.25,150.0,0.1,5.0,1.0,54.639564514160156
0.12,0.5,25.0,0.02,75.0,0.5,95.91265106201172
0.06,1.0,150.0,0.5,25.0,2.0,
0.03,1.0,75.0,5.0,75.0,0.5,59.6681022644043
0.015,0.25,25.0,5.0,5.0,1.0,53.56508255004883
0.03,0.25,25.0,0.1,25.0,1000000.0,74.93338012695312
0.06,0.5,150.0,0.02,25.0,1.0,69.19606018066406
0.12,0.5,150.0,50.0,75.0,0.5,
0.03,0.25,150.0,0.1,5.0,2.0,55.148170471191406
0.03,0.25,150.0,50.0,75.0,1000000.0,
0.12,1.0,25.0,50.0,25.0,1.0,70.65371704101562
0.24,0.5,75.0,0.1,5.0,0.5,70.02632904052734
0.12,0.25,75.0,50.0,5.0,2.0,65.11027526855469
0.24,0.25,25.0,0.1,75.0,1.0,
0.24,0.25,25.0,50.0,25.0,2.0,
0.24,0.5,25.0,50.0,75.0,0.5,
0.12,0.25,75.0,0.02,5.0,2.0,71.14664459228516
0.03,0.25,75.0,50.0,5.0,1.0,52.4593620300293
0.06,0.5,25.0,0.1,25.0,1000000.0,82.4653091430664
0.24,1.0,150.0,50.0,5.0,0.5,
0.24,1.0,75.0,5.0,5.0,1000000.0,
0.015,0.5,150.0,50.0,5.0,1.0,56.27293014526367
0.24,1.0,75.0,0.5,75.0,1.0,
0.06,0.5,150.0,5.0,75.0,2.0,
0.06,0.5,150.0,0.02,75.0,1000000.0,
0.06,0.5,150.0,0.1,75.0,2.0,
0.015,0.5,150.0,0.02,5.0,0.5,56.141998291015625
0.06,1.0,150.0,0.02,5.0,0.5,55.95230484008789
0.12,0.5,25.0,0.5,75.0,2.0,
0.03,1.0,75.0,0.1,75.0,0.5,74.58470153808594
0.015,1.0,25.0,0.1,5.0,2.0,62.6217041015625
0.24,0.5,75.0,0.02,5.0,0.5,68.85062408447266
0.015,0.25,150.0,0.1,5.0,1.0,57.951942443847656
0.24,0.5,25.0,0.5,5.0,2.0,80.88854217529297
0.12,1.0,75.0,5.0,5.0,2.0,
0.24,1.0,150.0,5.0,25.0,2.0,
0.015,1.0,150.0,0.1,5.0,1.0,58.142181396484375
0.06,1.0,25.0,0.02,25.0,2.0,83.91376495361328
0.06,0.25,75.0,0.02,25.0,1.0,70.73310852050781
0.24,0.25,25.0,50.0,5.0,0.5,67.94068908691406
0.015,0.5,150.0,0.5,75.0,0.5,59.70218276977539
0.03,0.25,75.0,0.5,75.0,0.5,58.19571304321289
0.03,1.0,25.0,0.5,75.0,1000000.0,
0.12,0.25,75.0,50.0,5.0,0.5,60.44565963745117
0.03,1.0,25.0,50.0,5.0,0.5,53.970272064208984
0.12,0.5,75.0,5.0,5.0,1000000.0,
0.015,0.5,25.0,0.1,25.0,1.0,63.499656677246094
0.06,0.25,150.0,0.5,5.0,0.5,58.67096710205078
0.12,1.0,150.0,50.0,25.0,2.0,
0.24,0.25,150.0,50.0,5.0,1000000.0,
0.24,0.25,75.0,5.0,25.0,1.0,
0.24,1.0,25.0,5.0,75.0,1.0,
0.06,0.5,25.0,50.0,25.0,0.5,59.192806243896484
0.24,1.0,75.0,50.0,25.0,1000000.0,
0.015,1.0,75.0,0.5,75.0,1.0,58.72746658325195
0.12,0.5,75.0,5.0,5.0,0.5,61.317203521728516
0.12,1.0,25.0,5.0,25.0,2.0,74.44090270996094
0.24,1.0,75.0,50.0,75.0,1.0,
0.06,1.0,75.0,0.5,25.0,1000000.0,
0.03,1.0,25.0,50.0,25.0,1.0,55.786861419677734
0.015,0.25,75.0,50.0,5.0,1000000.0,64.67415618896484
0.12,1.0,75.0,0.02,75.0,1.0,98.42198181152344
0.06,1.0,75.0,0.1,5.0,0.5,58.84046173095703
0.12,1.0,75.0,0.1,25.0,0.5,75.85871887207031
0.12,1.0,75.0,5.0,25.0,2.0,
0.015,1.0,150.0,0.5,5.0,1.0,58.75775909423828
0.12,1.0,75.0,5.0,25.0,1000000.0,
0.06,0.25,150.0,50.0,25.0,0.5,60.89002227783203
0.06,1.0,75.0,0.02,75.0,1.0,86.01966857910156
0.015,0.25,75.0,5.0,5.0,1000000.0,64.78784942626953
0.03,1.0,75.0,0.02,75.0,2.0,82.92928314208984
0.12,0.5,75.0,0.5,5.0,1000000.0,
0.12,0.25,150.0,50.0,75.0,1000000.0,
0.06,0.5,25.0,0.1,25.0,0.5,69.65789031982422
0.015,0.5,25.0,0.02,5.0,1000000.0,72.318359375
0.12,0.25,75.0,0.02,25.0,2.0,87.11888885498047
0.06,1.0,75.0,5.0,5.0,1.0,59.06514358520508
0.06,0.5,75.0,0.5,25.0,1.0,64.59150695800781
0.015,0.5,75.0,50.0,75.0,1000000.0,65.1460952758789
0.06,1.0,25.0,0.1,75.0,1.0,78.43138885498047
0.03,0.25,75.0,5.0,5.0,0.5,54.869571685791016
0.12,0.25,25.0,5.0,5.0,2.0,70.65110778808594
0.24,1.0,150.0,5.0,5.0,2.0,
0.03,0.25,75.0,5.0,75.0,0.5,57.61005401611328
0.12,0.25,25.0,5.0,75.0,1000000.0,
0.24,1.0,150.0,0.5,75.0,1000000.0,
0.03,0.5,25.0,5.0,5.0,1000000.0,66.71184539794922
0.12,0.5,150.0,50.0,5.0,1.0,
0.24,0.25,25.0,5.0,5.0,2.0,74.98636627197266
0.12,0.5,25.0,0.5,25.0,0.5,69.32485961914062
0.06,0.5,25.0,0.5,25.0,2.0,68.16223907470703
0.03,0.25,75.0,0.1,75.0,1.0,68.98452758789062
0.03,1.0,75.0,0.1,5.0,1000000.0,67.98157501220703
0.03,1.0,150.0,0.1,5.0,1000000.0,67.36915588378906
0.015,0.5,75.0,0.02,5.0,0.5,56.48873519897461
0.015,1.0,150.0,50.0,5.0,0.5,55.25250244140625
0.03,0.25,75.0,0.02,25.0,2.0,70.20780944824219
0.06,0.5,25.0,0.5,5.0,1.0,61.63360595703125
0.24,1.0,25.0,50.0,25.0,1000000.0,
0.24,0.25,25.0,0.02,25.0,1.0,88.12528228759766
0.24,1.0,75.0,0.5,75.0,1000000.0,
0.015,1.0,150.0,0.02,75.0,1000000.0,92.25995635986328
0.12,0.5,150.0,0.1,25.0,2.0,
0.06,0.25,75.0,0.02,75.0,1000000.0,105.52458953857422
0.06,0.5,150.0,0.5,5.0,1.0,60.07565689086914
0.03,0.5,150.0,0.5,5.0,1000000.0,
0.06,1.0,75.0,0.1,75.0,0.5,81.82501220703125
0.24,1.0,150.0,0.5,5.0,2.0,
0.12,0.25,150.0,0.02,25.0,0.5,72.49789428710938
0.24,1.0,25.0,0.5,5.0,2.0,81.67921447753906
0.06,0.25,150.0,0.5,75.0,1.0,
0.12,0.5,75.0,50.0,5.0,1000000.0,
0.03,0.5,75.0,0.02,5.0,1.0,53.934288024902344
0.12,1.0,75.0,50.0,25.0,1.0,
0.06,1.0,75.0,5.0,25.0,1000000.0,
0.06,0.5,150.0,5.0,25.0,1000000.0,
0.015,0.25,25.0,0.1,25.0,1000000.0,72.12937927246094
0.24,0.5,25.0,0.1,75.0,2.0,
0.24,1.0,150.0,0.1,5.0,1.0,
0.12,0.5,150.0,0.02,5.0,0.5,60.75780487060547
0.015,0.5,75.0,0.5,25.0,1.0,57.27893829345703
0.03,0.25,75.0,5.0,5.0,1000000.0,65.11406707763672
0.03,0.25,75.0,0.02,25.0,0.5,65.46284484863281
0.12,0.5,75.0,0.1,5.0,0.5,63.22153091430664
0.24,0.5,75.0,5.0,5.0,1000000.0,
0.12,1.0,25.0,0.5,5.0,0.5,68.5457534790039
0.24,0.5,25.0,0.1,5.0,2.0,82.18938446044922
0.12,1.0,75.0,0.02,5.0,1000000.0,
0.12,0.5,75.0,0.02,5.0,2.0,71.39372253417969
0.24,0.25,25.0,5.0,25.0,2.0,
0.015,0.25,150.0,50.0,25.0,1.0,57.30213165283203
0.015,1.0,150.0,0.1,25.0,1000000.0,73.60079956054688
0.015,0.25,75.0,0.5,75.0,1000000.0,66.82684326171875
0.015,0.25,75.0,5.0,75.0,2.0,59.1175537109375
0.12,0.5,25.0,0.5,75.0,0.5,
0.03,0.5,75.0,5.0,75.0,1000000.0,
0.015,0.5,75.0,0.5,25.0,0.5,56.43914031982422
0.06,0.25,25.0,5.0,5.0,1000000.0,75.26029968261719
0.06,0.25,150.0,0.1,75.0,2.0,
0.06,0.25,75.0,5.0,5.0,1.0,57.51522445678711
0.24,0.5,25.0,5.0,5.0,0.5,68.76387023925781
0.015,1.0,75.0,0.1,75.0,1000000.0,75.76498413085938
0.03,0.25,25.0,5.0,75.0,2.0,58.41365432739258
0.015,0.25,75.0,0.02,75.0,1000000.0,92.04022979736328
0.03,1.0,75.0,5.0,75.0,1.0,59.9251708984375
0.24,0.25,25.0,0.1,75.0,0.5,90.24819946289062
0.24,0.5,25.0,50.0,75.0,1.0,
0.12,1.0,150.0,0.1,5.0,1.0,
0.03,0.5,150.0,50.0,5.0,0.5,54.547428131103516
0.12,0.25,25.0,0.1,25.0,0.5,75.47710418701172
0.06,0.5,25.0,50.0,75.0,1.0,
0.24,0.5,150.0,0.1,75.0,1000000.0,
0.24,1.0,25.0,5.0,5.0,1000000.0,
0.015,1.0,25.0,5.0,25.0,1.0,54.48634719848633
0.06,0.25,75.0,0.5,75.0,2.0,
0.06,1.0,150.0,0.5,75.0,2.0,
0.03,0.25,75.0,5.0,75.0,1000000.0,
0.12,0.5,75.0,50.0,75.0,0.5,
0.24,0.5,25.0,0.5,75.0,2.0,
0.03,1.0,75.0,5.0,25.0,1.0,58.769569396972656
0.24,1.0,150.0,0.1,75.0,0.5,
0.24,0.5,75.0,0.1,75.0,1000000.0,
0.015,1.0,150.0,5.0,5.0,2.0,61.423404693603516
0.06,0.5,150.0,50.0,5.0,0.5,56.965023040771484
0.015,0.25,25.0,50.0,25.0,1.0,53.52949142456055
0.24,0.25,150.0,0.5,75.0,1.0,
0.24,1.0,150.0,50.0,25.0,0.5,
0.03,0.5,75.0,5.0,25.0,1.0,56.83347702026367
0.06,0.25,25.0,0.1,5.0,1000000.0,76.65479278564453
0.03,0.25,150.0,0.02,5.0,1000000.0,68.55912780761719
0.24,0.5,75.0,0.1,25.0,2.0,
0.24,1.0,25.0,0.5,75.0,0.5,
0.03,0.25,75.0,50.0,25.0,2.0,55.00571060180664
0.12,1.0,75.0,0.1,5.0,0.5,64.29024505615234
0.015,0.5,150.0,0.1,25.0,0.5,65.3719482421875
0.015,1.0,150.0,5.0,25.0,1000000.0,69.51335906982422
0.24,1.0,150.0,0.1,5.0,1000000.0,
0.03,1.0,150.0,50.0,75.0,1000000.0,
0.03,0.25,75.0,0.02,5.0,1000000.0,69.492919921875
0.12,1.0,25.0,5.0,75.0,2.0,
0.015,0.25,25.0,0.02,75.0,1.0,84.47940826416016
0.03,0.25,25.0,0.5,5.0,1000000.0,68.88862609863281
0.06,1.0,150.0,0.1,75.0,1.0,
0.24,1.0,75.0,0.5,25.0,0.5,
0.015,1.0,75.0,0.02,75.0,0.5,82.72648620605469
0.12,0.25,75.0,0.02,5.0,0.5,62.674407958984375
0.06,0.5,75.0,0.02,25.0,2.0,76.34814453125
0.03,0.25,150.0,5.0,25.0,2.0,57.38206100463867
0.24,1.0,25.0,50.0,75.0,0.5,
0.015,0.25,25.0,0.02,25.0,1000000.0,85.94316101074219
0.06,0.5,150.0,0.5,75.0,2.0,
0.24,1.0,25.0,0.02,25.0,1.0,90.15911102294922
0.24,0.5,150.0,0.1,5.0,2.0,
0.03,1.0,25.0,0.1,5.0,0.5,58.170570373535156
0.12,0.25,150.0,0.1,25.0,0.5,
0.24,0.25,25.0,0.5,75.0,0.5,
0.06,0.25,75.0,0.1,25.0,1000000.0,78.93458557128906
0.03,0.25,150.0,5.0,25.0,1.0,59.76637649536133
0.06,0.25,150.0,0.5,75.0,0.5,
0.03,0.25,150.0,50.0,75.0,2.0,57.159610748291016
0.03,0.5,150.0,5.0,25.0,2.0,57.94081115722656
0.24,1.0,75.0,0.02,75.0,1.0,
0.06,0.5,25.0,0.1,5.0,1000000.0,77.01162719726562
0.24,1.0,75.0,0.5,5.0,2.0,
0.015,0.5,25.0,0.02,25.0,0.5,75.95188903808594
0.12,0.25,75.0,0.1,5.0,1.0,64.30066680908203
0.06,1.0,25.0,0.1,5.0,2.0,67.77067565917969
0.12,0.25,150.0,50.0,25.0,1000000.0,
0.03,0.5,150.0,0.02,75.0,1.0,79.15276336669922
0.12,0.25,150.0,50.0,5.0,2.0,
0.015,0.5,75.0,5.0,25.0,2.0,58.90415573120117
0.015,0.25,75.0,0.5,25.0,0.5,56.40065002441406
0.06,0.5,75.0,50.0,5.0,2.0,59.412818908691406
0.12,0.25,75.0,5.0,75.0,0.5,
0.06,0.5,75.0,5.0,25.0,2.0,63.34986114501953
0.06,0.25,25.0,50.0,5.0,1000000.0,73.98686218261719
0.12,0.25,150.0,5.0,75.0,0.5,
0.06,0.25,25.0,0.1,5.0,2.0,65.62006378173828
0.06,0.5,150.0,5.0,25.0,0.5,64.54468536376953
0.03,1.0,75.0,50.0,25.0,1000000.0,67.2610092163086
0.12,1.0,25.0,5.0,5.0,2.0,72.67280578613281
0.06,1.0,25.0,0.1,5.0,1.0,63.42850875854492
0.015,0.25,25.0,0.5,5.0,2.0,59.47327423095703
