ls_xy,ls_z,os_xyz,ls_t,os_t,mse
0.06,1.0,25.0,0.02,25.0,94.04439544677734
0.03,1.0,150.0,5.0,75.0,
0.015,0.25,25.0,0.5,75.0,66.52054595947266
0.015,1.0,75.0,50.0,75.0,65.49281311035156
0.12,0.5,75.0,0.5,75.0,
0.06,0.5,75.0,0.1,5.0,74.3000717163086
0.06,1.0,150.0,50.0,5.0,
0.015,0.25,25.0,0.02,75.0,93.05461120605469
0.015,0.25,150.0,0.1,25.0,73.05290985107422
0.015,0.5,150.0,50.0,75.0,68.44609832763672
0.06,1.0,150.0,0.5,5.0,
0.24,1.0,25.0,0.5,75.0,
0.03,1.0,25.0,0.5,75.0,
0.06,0.25,25.0,0.5,5.0,77.14080047607422
0.03,1.0,150.0,0.5,25.0,
0.12,1.0,150.0,0.02,5.0,
0.06,0.5,25.0,5.0,5.0,75.78431701660156
0.03,0.25,150.0,50.0,75.0,
0.015,0.25,75.0,0.02,75.0,91.79302978515625
0.015,0.5,75.0,50.0,5.0,64.60600280761719
0.015,0.25,75.0,0.02,5.0,69.14591217041016
0.015,0.5,75.0,0.5,25.0,66.50227355957031
0.12,1.0,150.0,0.5,75.0,
0.12,1.0,150.0,0.5,25.0,
0.24,1.0,150.0,0.5,75.0,
0.06,0.5,150.0,50.0,25.0,
0.03,0.5,150.0,0.02,75.0,97.86499786376953
0.015,0.5,25.0,0.02,5.0,72.26532745361328
0.12,0.5,75.0,0.5,5.0,
0.015,1.0,75.0,0.5,75.0,67.1146011352539
0.06,0.25,75.0,5.0,75.0,
0.03,0.5,75.0,50.0,75.0,
0.06,1.0,75.0,0.02,25.0,93.41197967529297
0.12,0.5,150.0,0.02,5.0,
0.24,0.5,150.0,0.02,5.0,
0.06,0.25,25.0,0.5,75.0,
0.015,0.5,150.0,5.0,25.0,68.91764068603516
0.24,0.5,75.0,5.0,25.0,
0.12,0.5,25.0,0.5,5.0,88.48951721191406
0.015,1.0,75.0,50.0,25.0,65.35572814941406
0.03,0.25,25.0,0.5,5.0,68.91078186035156
0.06,0.5,150.0,5.0,5.0,
0.12,1.0,150.0,5.0,75.0,
0.06,0.25,75.0,0.02,25.0,92.47692108154297
0.03,1.0,25.0,0.5,25.0,71.47061157226562
0.12,0.5,25.0,0.1,75.0,
0.24,0.25,150.0,0.1,25.0,
0.015,0.25,150.0,5.0,25.0,68.83384704589844
0.03,0.25,150.0,5.0,25.0,66.43418884277344
0.03,0.5,150.0,0.5,25.0,
0.06,0.5,75.0,5.0,75.0,
0.03,1.0,75.0,0.1,5.0,67.97943115234375
0.24,0.25,75.0,5.0,75.0,
0.24,0.25,150.0,5.0,5.0,
0.24,0.25,75.0,0.02,75.0,
0.015,1.0,75.0,0.1,75.0,75.60269927978516
0.03,0.5,75.0,0.1,75.0,75.40248107910156
0.12,0.5,150.0,50.0,5.0,
0.12,0.25,150.0,5.0,5.0,
0.06,0.25,75.0,0.02,75.0,105.28971862792969
0.12,0.25,150.0,0.5,25.0,
0.015,1.0,25.0,0.5,75.0,66.79035949707031
0.06,1.0,25.0,50.0,25.0,
0.015,0.25,25.0,0.5,5.0,65.10314178466797
0.03,0.25,25.0,0.02,75.0,97.2193832397461
0.03,0.25,25.0,50.0,5.0,66.15800476074219
0.015,0.25,25.0,0.02,5.0,72.41671752929688
0.24,1.0,150.0,0.5,25.0,
0.06,1.0,150.0,0.1,75.0,
0.24,0.5,75.0,5.0,75.0,
0.03,1.0,75.0,0.02,75.0,95.78515625
0.015,0.5,150.0,0.5,75.0,69.5162124633789
0.24,0.25,25.0,0.1,25.0,
0.12,0.5,25.0,5.0,25.0,
0.03,0.25,150.0,0.02,25.0,82.1093978881836
0.12,0.25,25.0,0.1,25.0,94.24224853515625
0.015,0.25,150.0,0.02,25.0,80.7767333984375
0.015,0.5,75.0,0.5,75.0,66.76506805419922
0.12,1.0,25.0,50.0,75.0,
0.24,0.25,75.0,0.1,5.0,
0.03,0.5,25.0,50.0,25.0,66.82085418701172
0.015,1.0,25.0,0.02,5.0,72.29943084716797
0.015,1.0,25.0,0.1,25.0,72.49034881591797
0.015,0.5,75.0,0.1,75.0,75.30852508544922
0.03,1.0,25.0,50.0,75.0,
0.06,0.25,150.0,50.0,25.0,
0.12,0.5,150.0,5.0,5.0,
0.24,1.0,150.0,5.0,5.0,
0.12,0.5,25.0,0.1,25.0,94.57400512695312
0.12,0.25,75.0,0.02,75.0,
0.06,0.25,75.0,50.0,5.0,
0.24,0.25,25.0,0.5,75.0,
0.12,0.25,25.0,0.5,75.0,
0.03,0.25,75.0,50.0,75.0,
0.015,1.0,25.0,0.5,5.0,65.45561218261719
0.12,0.5,25.0,0.02,25.0,103.18276977539062
0.015,1.0,150.0,50.0,5.0,67.6741714477539
0.24,0.5,75.0,0.02,5.0,
0.06,0.25,25.0,0.5,25.0,78.20777893066406
0.06,0.25,150.0,5.0,5.0,
